                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6328,                 6.2895,                 4.3829,                0.00023,                0.05085,                0.00013,                  3e-05,                 4.6861,                 5.8901,                 4.1603,                0.00026,                0.00026,                0.00026
                      1,                  4.278,                 5.3274,                 4.2307,                0.00021,                0.04661,                0.00011,                  3e-05,                 4.6949,                  5.839,                 4.1666,             0.00048654,             0.00048654,             0.00048654
                      2,                 4.1147,                 5.1548,                 4.0754,                0.00018,                0.04237,                 0.0001,                  2e-05,                 4.7172,                 5.6816,                 4.1879,             0.00065764,             0.00065764,             0.00065764
                      3,                 3.8656,                 4.7162,                 3.8596,                0.00018,                0.04237,                 0.0001,                  2e-05,                 4.7548,                 5.4117,                 4.2313,              0.0007733,              0.0007733,              0.0007733
                      4,                 3.7999,                 4.6285,                 3.6667,                0.00019,                0.04237,                0.00011,                  2e-05,                 4.7157,                 5.2344,                 4.2043,             0.00083352,             0.00083352,             0.00083352
                      5,                 3.5275,                 4.0252,                 3.5244,                0.00022,                0.01695,                0.00012,                  2e-05,                 4.7791,                 5.1633,                 4.2962,              0.0008383,              0.0008383,              0.0008383
                      6,                 3.2747,                 3.7508,                 3.3068,                0.00029,                0.02119,                0.00016,                  2e-05,                 4.1524,                 4.8371,                 3.7864,             0.00078764,             0.00078764,             0.00078764
                      7,                  3.103,                 3.5828,                 3.1675,                0.00067,                0.05085,                0.00036,                  8e-05,                 4.4118,                 5.0774,                 4.0141,               0.000614,               0.000614,               0.000614
                      8,                 3.0931,                 3.3716,                 3.0115,                0.24467,                0.03814,                 0.0274,                0.00647,                 3.8064,                 4.5003,                 3.6987,               0.000614,               0.000614,               0.000614
                      9,                 3.1149,                 3.2483,                  3.064,                0.14182,                0.18644,                 0.0836,                0.02056,                 2.9585,                 3.5229,                 3.1335,               0.000416,               0.000416,               0.000416
